date,Symbol,title
2019-01-30,"['TORNTPHARM', 'CHOLAFIN', 'IOC', 'NTPC', 'CASTROLIND', 'HEXAWARE', 'ICICIBANK', 'LICHSGFIN', 'AJANTPHARM', 'TATACOMM', 'BEL', 'JUBLFOOD', 'BAJAJ-AUTO']",Results on 30 Jan 2019
2019-01-31,"['UPL', 'NMDC', 'IBULHSGFIN', 'BHARTIARTL', 'PETRONET', 'VGUARD', 'VEDL', 'DABUR', 'HEROMOTOCO', 'POWERGRID']",Results on 31 Jan 2019
2019-02-01,"['DRREDDY', 'EQUITAS', 'SBIN', 'TITAN', 'BERGEPAINT']",Results on 01 Feb 2019
2019-02-02,"['DIVISLAB', 'BEML', 'SYNDIBANK', 'GODFRYPHLP', 'JINDALSTEL']",Results on 02 Feb 2019
2019-02-04,"['EXIDEIND', 'SRF', 'IRB', 'IDBI', 'SREINFRA']",Results on 04 Feb 2019
2019-02-05,"['CESC', 'MRPL', 'BHEL', 'APOLLOTYRE', 'DLF', 'RELINFRA', 'TATAGLOBAL', 'TORNTPOWER', 'DISHTV', 'ACC', 'GAIL', 'TECHM', 'PNB', 'MARICO', 'HINDPETRO', 'TATACHEM']",Results on 05 Feb 2019
2019-02-06,"['MANAPPURAM', 'MUTHOOTFIN', 'CGPOWER', 'LUPIN', 'CIPLA', 'ALBK', 'JSWSTEEL', 'IDEA', 'ADANIPOWER', 'CUMMINSIND', 'SIEMENS', 'ADANIPORTS', 'IGL', 'PTC']",Results on 06 Feb 2019
2019-02-07,"['CADILAHC', 'ARVIND', 'TATAMTRDVR', 'SUZLON', 'BRITANNIA', 'MRF', 'ADANIENT', 'GRASIM', 'SAIL', 'AUROPHARMA', 'TATAMOTORS']",Results on 07 Feb 2019
2019-02-08,"['SUNTV', 'M&M', 'RECLTD', 'BALKRISIND', 'ENGINERSIN', 'NHPC', 'NATIONALUM', 'BPCL', 'TATASTEEL']",Results on 08 Feb 2019
2019-02-09,"['APOLLOHOSP', 'IDFC', 'PCJEWELLER']",Results on 09 Feb 2019
2019-02-11,"['AMARAJABAT', 'MOTHERSUMI', 'EICHERMOT', 'MFSL', 'PFC', 'INDIACEM']",Results on 11 Feb 2019
2019-02-12,"['SUNPHARMA', 'JISLJALEQS', 'COALINDIA', 'NCC', 'CONCOR', 'BATAINDIA', 'OIL', 'HINDALCO']",Results on 12 Feb 2019
2019-02-13,"['REPCOHOME', 'BOSCHLTD', 'OFSS', 'NBCC', 'RELCAPITAL', 'GODREJIND', 'BHARATFORG']",Results on 13 Feb 2019
2019-02-14,"['KSCL', 'INFIBEAM', 'PAGEIND', 'ONGC', 'JETAIRWAYS', 'GLENMARK', 'GMRINFRA', 'UBL', 'ASHOKLEY', 'IFCI', 'VOLTAS']",Results on 14 Feb 2019
2019-02-18,"['AMBUJACEM', 'ENGINERSIN']",Results on 18 Feb 2019
2019-04-12,"['TCS', 'INFY']",Results on 12 Apr 2019
2019-04-15,['TV18BRDCST'],Results on 15 Apr 2019
2019-04-16,['WIPRO'],Results on 16 Apr 2019
2019-04-17,['MINDTREE'],Results on 17 Apr 2019
2019-04-18,"['RBLBANK', 'DCBBANK', 'RELIANCE']",Results on 18 Apr 2019
2019-04-20,['HDFCBANK'],Results on 20 Apr 2019
2019-04-23,"['TATAGLOBAL', 'ACC']",Results on 23 Apr 2019
2019-04-24,"['ULTRACEMCO', 'INFRATEL', 'IBULHSGFIN', 'HEXAWARE', 'ICICIPRULI', 'M&MFIN', 'TATAELXSI']",Results on 24 Apr 2019
2019-04-25,"['MARUTI', 'BIOCON', 'AXISBANK', 'TATASTEEL']",Results on 25 Apr 2019
2019-04-26,"['HEROMOTOCO', 'PEL', 'YESBANK']",Results on 26 Apr 2019
2019-04-27,['CHOLAFIN'],Results on 27 Apr 2019
2019-04-28,['L&TFH'],Results on 28 Apr 2019
2019-04-29,['CASTROLIND'],Results on 29 Apr 2019
2019-04-30,"['TVSMOTOR', 'EXIDEIND', 'KOTAKBANK', 'AMBUJACEM', 'CANFINHOME', 'RAYMOND', 'AJANTPHARM', 'CONCOR']",Results on 30 Apr 2019
2019-05-01,['BRITANNIA'],Results on 01 May 2019
2019-05-02,"['MRF', 'DABUR', 'TATAPOWER', 'HINDZINC']",Results on 02 May 2019
2019-05-03,"['GODREJCP', 'HINDUNILVR', 'TATACHEM', 'CENTURYTEX']",Results on 03 May 2019
2019-05-04,"['NIITTECH', 'FEDERALBNK', 'LICHSGFIN']",Results on 04 May 2019
